timestamp,drone_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
0.0,0,84.43031441308682,81.5587007487648,50.0,0.0,0.0,0.0
0.033,0,82.53031441308681,79.6587007487648,50.0,0.0,0.0,0.0
0.066,0,79.82031441308682,76.94870074876481,50.0,0.0,0.0,0.0
0.099,0,76.38131441308681,73.5097007487648,50.0,0.0,0.0,0.0
0.132,0,72.28621441308681,69.4146007487648,50.0,0.0,0.0,0.0
0.165,0,67.6006244130868,64.7290107487648,50.0,0.0,0.0,0.0
0.198,0,62.38359341308681,59.511979748764794,50.0,0.0,0.0,0.0
0.231,0,56.688265513086805,53.81665184876479,50.0,0.0,0.0,0.0
0.264,0,50.562470403086806,47.69085673876479,50.0,0.0,0.0,0.0
0.29700000000000004,0,44.04925480408681,41.177641139764795,50.0,0.0,0.0,0.0
0.33000000000000007,0,37.187360764986806,34.315747100664794,50.0,0.0,0.0,0.0
0.3630000000000001,0,30.011656129796805,27.140042465474792,50.0,0.0,0.0,0.0
0.39600000000000013,0,22.553521958125806,19.681908293803794,50.0,0.0,0.0,0.0
0.42900000000000016,0,14.841201203621907,11.969587539299894,50.0,0.0,0.0,0.0
0.4620000000000002,0,6.900112524568397,4.028498860246384,50.0,0.0,0.0,0.0
0.4950000000000002,0,0.0,0.0,50.0,0.0,0.0,0.0
0.5280000000000002,0,0.0,0.0,50.0,0.0,0.0,0.0
0.5610000000000003,0,0.0,0.0,50.0,0.0,0.0,0.0
0.5940000000000003,0,0.0,0.0,50.0,0.0,0.0,0.0
0.6270000000000003,0,0.0,0.0,50.0,0.0,0.0,0.0
0.6600000000000004,0,0.0,0.0,50.0,0.0,0.0,0.0
0.6930000000000004,0,0.0,0.0,50.0,0.0,0.0,0.0
0.7260000000000004,0,0.0,0.0,50.0,0.0,0.0,0.0
0.7590000000000005,0,0.0,0.0,50.0,0.0,0.0,0.0
0.7920000000000005,0,0.0,0.0,50.0,0.0,0.0,0.0
0.8250000000000005,0,0.0,0.0,50.0,0.0,0.0,0.0
0.8580000000000005,0,0.0,0.0,50.0,0.0,0.0,0.0
0.8910000000000006,0,0.0,0.0,50.0,0.0,0.0,0.0
0.9240000000000006,0,0.0,0.0,50.0,0.0,0.0,0.0
0.9570000000000006,0,0.0,0.0,50.0,0.0,0.0,0.0
0.9900000000000007,0,0.0,0.0,50.0,0.0,0.0,0.0
1.0230000000000006,0,0.0,0.0,50.0,0.0,0.0,0.0
1.0560000000000005,0,0.0,0.0,50.0,0.0,0.0,0.0
1.0890000000000004,0,0.0,0.0,50.0,0.0,0.0,0.0
1.1220000000000003,0,0.0,0.0,50.0,0.0,0.0,0.0
1.1550000000000002,0,0.0,0.0,50.0,0.0,0.0,0.0
1.1880000000000002,0,0.0,0.0,50.0,0.0,0.0,0.0
1.221,0,0.0,0.0,50.0,0.0,0.0,0.0
1.254,0,0.0,0.0,50.0,0.0,0.0,0.0
1.287,0,0.0,0.0,50.0,0.0,0.0,0.0
1.3199999999999998,0,0.0,0.0,50.0,0.0,0.0,0.0
1.3529999999999998,0,0.0,0.0,50.0,0.0,0.0,0.0
1.3859999999999997,0,0.0,0.0,50.0,0.0,0.0,0.0
1.4189999999999996,0,0.0,0.0,50.0,0.0,0.0,0.0
1.4519999999999995,0,0.0,0.0,50.0,0.0,0.0,0.0
1.4849999999999994,0,0.0,0.0,50.0,0.0,0.0,0.0
1.5179999999999993,0,0.0,0.0,50.0,0.0,0.0,0.0
1.5509999999999993,0,0.0,0.0,50.0,0.0,0.0,0.0
1.5839999999999992,0,0.0,0.0,50.0,0.0,0.0,0.0
1.616999999999999,0,0.0,0.0,50.0,0.0,0.0,0.0
1.649999999999999,0,0.0,0.0,50.0,0.0,0.0,0.0
1.682999999999999,0,0.0,0.0,50.0,0.0,0.0,0.0
1.7159999999999989,0,0.0,0.0,50.0,0.0,0.0,0.0
1.7489999999999988,0,0.0,0.0,50.0,0.0,0.0,0.0
1.7819999999999987,0,0.0,0.0,50.0,0.0,0.0,0.0
1.8149999999999986,0,0.0,0.0,50.0,0.0,0.0,0.0
1.8479999999999985,0,0.0,0.0,50.0,0.0,0.0,0.0
1.8809999999999985,0,0.0,0.0,50.0,0.0,0.0,0.0
1.9139999999999984,0,0.0,0.0,50.0,0.0,0.0,0.0
1.9469999999999983,0,0.0,0.0,50.0,0.0,0.0,0.0
1.9799999999999982,0,0.0,0.0,50.0,0.0,0.0,0.0
2.012999999999998,0,0.0,0.0,50.0,0.0,0.0,0.0
2.045999999999998,0,0.0,0.0,50.0,0.0,0.0,0.0
2.078999999999998,0,0.0,0.0,50.0,0.0,0.0,0.0
