time,uav1,uav2,distance,signal
0,0,1,50.99019513592785,0.7450490243203607
0,0,2,101.9803902718557,0.4900980486407215
0,1,2,50.99019513592785,0.7450490243203607
1,0,1,50.99019513592785,0.7450490243203607
1,0,2,101.9803902718557,0.4900980486407215
1,1,2,50.99019513592785,0.7450490243203607
2,0,1,50.99019513592785,0.7450490243203607
2,0,2,101.9803902718557,0.4900980486407215
2,1,2,50.99019513592785,0.7450490243203607
3,0,1,50.99019513592785,0.7450490243203607
3,0,2,101.9803902718557,0.4900980486407215
3,1,2,50.99019513592785,0.7450490243203607
4,0,1,50.99019513592785,0.7450490243203607
4,0,2,101.9803902718557,0.4900980486407215
4,1,2,50.99019513592785,0.7450490243203607
5,0,1,50.99019513592785,0.7450490243203607
5,0,2,101.9803902718557,0.4900980486407215
5,1,2,50.99019513592785,0.7450490243203607
6,0,1,50.99019513592785,0.7450490243203607
6,0,2,101.9803902718557,0.4900980486407215
6,1,2,50.99019513592785,0.7450490243203607
7,0,1,50.99019513592785,0.7450490243203607
7,0,2,101.9803902718557,0.4900980486407215
7,1,2,50.99019513592785,0.7450490243203607
8,0,1,50.99019513592785,0.7450490243203607
8,0,2,101.9803902718557,0.4900980486407215
8,1,2,50.99019513592785,0.7450490243203607
9,0,1,50.99019513592785,0.7450490243203607
9,0,2,101.9803902718557,0.4900980486407215
9,1,2,50.99019513592785,0.7450490243203607
10,0,1,50.99019513592785,0.7450490243203607
10,0,2,101.9803902718557,0.4900980486407215
10,1,2,50.99019513592785,0.7450490243203607
11,0,1,50.99019513592785,0.7450490243203607
11,0,2,101.9803902718557,0.4900980486407215
11,1,2,50.99019513592785,0.7450490243203607
12,0,1,50.99019513592785,0.7450490243203607
12,0,2,101.9803902718557,0.4900980486407215
12,1,2,50.99019513592785,0.7450490243203607
13,0,1,50.99019513592785,0.7450490243203607
13,0,2,101.9803902718557,0.4900980486407215
13,1,2,50.99019513592785,0.7450490243203607
14,0,1,50.99019513592785,0.7450490243203607
14,0,2,101.9803902718557,0.4900980486407215
14,1,2,50.99019513592785,0.7450490243203607
15,0,1,50.99019513592785,0.7450490243203607
15,0,2,101.9803902718557,0.4900980486407215
15,1,2,50.99019513592785,0.7450490243203607
16,0,1,50.99019513592785,0.7450490243203607
